Index,Timestamp_s,Label,Value_mmHg
43,420.344,diastolic_trough,63.2
93,420.744,systolic_peak,77.6
131,421.048,dicrotic_notch,73.6
161,421.288,diastolic_trough,60.8
211,421.688,systolic_peak,70.4
249,421.992,dicrotic_notch,72.8
279,422.232,diastolic_trough,62.4
329,422.632,systolic_peak,72.8
368,422.944,dicrotic_notch,70.4
397,423.176,diastolic_trough,59.2
447,423.576,systolic_peak,70.4
485,423.88,dicrotic_notch,73.6
519,424.152,diastolic_trough,61.6
566,424.528,systolic_peak,72.0
603,424.824,dicrotic_notch,70.4
631,425.048,diastolic_trough,60.0
681,425.448,systolic_peak,66.4
720,425.76,dicrotic_notch,74.4
755,426.04,diastolic_trough,62.4
803,426.424,systolic_peak,72.0
842,426.736,dicrotic_notch,69.6
871,426.968,diastolic_trough,61.6
919,427.352,systolic_peak,74.4
958,427.664,dicrotic_notch,74.4
988,427.904,diastolic_trough,60.0
1037,428.296,systolic_peak,68.8
1072,428.576,dicrotic_notch,75.2
1108,428.864,diastolic_trough,64.0
1156,429.248,systolic_peak,77.6
1195,429.56,dicrotic_notch,70.4
1219,429.752,diastolic_trough,61.6
1270,430.16,systolic_peak,68.0
1306,430.448,dicrotic_notch,76.8
1345,430.76,diastolic_trough,64.0
1391,431.128,systolic_peak,72.8
1427,431.416,dicrotic_notch,71.2
1456,431.648,diastolic_trough,61.6
1506,432.048,systolic_peak,69.6
1544,432.352,dicrotic_notch,76.0
1579,432.632,diastolic_trough,64.0
1627,433.016,systolic_peak,72.8
1664,433.312,dicrotic_notch,71.2
1695,433.56,diastolic_trough,62.4
1744,433.952,systolic_peak,76.0
1780,434.24,dicrotic_notch,74.4
1813,434.504,diastolic_trough,64.0
1863,434.904,systolic_peak,74.4
1900,435.2,dicrotic_notch,70.4
1931,435.448,diastolic_trough,60.8
1977,435.816,systolic_peak,66.4
2016,436.128,dicrotic_notch,74.4
2050,436.4,diastolic_trough,62.4
2100,436.8,systolic_peak,74.4
2137,437.096,dicrotic_notch,68.8
2168,437.344,diastolic_trough,59.2
2216,437.728,systolic_peak,73.6
2255,438.04,dicrotic_notch,72.0
2286,438.288,diastolic_trough,58.4
2336,438.688,systolic_peak,69.6
2375,439.0,dicrotic_notch,68.8
2407,439.256,diastolic_trough,56.8
2454,439.632,systolic_peak,68.8
