Index,Timestamp_s,Label,Value_mmHg
16,0.128000,systolic_peak,167.46
44,0.352000,dicrotic_notch,126.42
72,0.576000,diastolic_trough,69.22
88,0.704000,systolic_peak,146.74
115,0.920000,dicrotic_notch,77.93
142,1.136000,diastolic_trough,69.64
158,1.264000,systolic_peak,147.56
186,1.488000,dicrotic_notch,78.76
212,1.696000,diastolic_trough,70.88
228,1.824000,systolic_peak,149.64
256,2.048000,dicrotic_notch,80.00
282,2.256000,diastolic_trough,71.30
297,2.376000,systolic_peak,149.22
325,2.600000,dicrotic_notch,78.34
352,2.816000,diastolic_trough,70.47
367,2.936000,systolic_peak,144.25
394,3.152000,dicrotic_notch,76.27
422,3.376000,diastolic_trough,69.64
437,3.496000,systolic_peak,145.49
464,3.712000,dicrotic_notch,78.34
492,3.936000,diastolic_trough,67.98
508,4.064000,systolic_peak,147.15
536,4.288000,dicrotic_notch,77.51
562,4.496000,diastolic_trough,69.64
578,4.624000,systolic_peak,148.39
605,4.840000,dicrotic_notch,79.59
632,5.056000,diastolic_trough,71.30
648,5.184000,systolic_peak,149.22
675,5.400000,dicrotic_notch,78.76
702,5.616000,diastolic_trough,69.64
718,5.744000,systolic_peak,146.32
745,5.960000,dicrotic_notch,77.51
773,6.184000,diastolic_trough,68.39
789,6.312000,systolic_peak,144.25
816,6.528000,dicrotic_notch,77.10
844,6.752000,diastolic_trough,68.39
859,6.872000,systolic_peak,144.66
887,7.096000,dicrotic_notch,77.51
914,7.312000,diastolic_trough,68.81
930,7.440000,systolic_peak,145.91
958,7.664000,dicrotic_notch,78.76
984,7.872000,diastolic_trough,70.88
1000,8.000000,systolic_peak,147.98
1027,8.216000,dicrotic_notch,79.59
1054,8.432000,diastolic_trough,69.64
1070,8.560000,systolic_peak,145.49
1097,8.776000,dicrotic_notch,77.10
1125,9.000000,diastolic_trough,68.39
1140,9.120000,systolic_peak,144.25
1166,9.328000,dicrotic_notch,76.68
1195,9.560000,diastolic_trough,67.98
1211,9.688000,systolic_peak,143.42
1238,9.904000,dicrotic_notch,76.68
1266,10.128000,diastolic_trough,68.39
1281,10.248000,systolic_peak,144.25
1309,10.472000,dicrotic_notch,77.10
1336,10.688000,diastolic_trough,70.05
1351,10.808000,systolic_peak,147.15
1379,11.032000,dicrotic_notch,79.59
1406,11.248000,diastolic_trough,70.47
1421,11.368000,systolic_peak,147.56
1449,11.592000,dicrotic_notch,77.93
1476,11.808000,diastolic_trough,68.39
1492,11.936000,systolic_peak,144.25
1519,12.152000,dicrotic_notch,77.10
1547,12.376000,diastolic_trough,67.98
1562,12.496000,systolic_peak,142.59
1590,12.720000,dicrotic_notch,76.27
1617,12.936000,diastolic_trough,68.39
1633,13.064000,systolic_peak,144.25
1660,13.280000,dicrotic_notch,77.51
1687,13.496000,diastolic_trough,69.64
1703,13.624000,systolic_peak,146.32
1731,13.848000,dicrotic_notch,79.59
1758,14.064000,diastolic_trough,71.30
1773,14.184000,systolic_peak,147.98
1801,14.408000,dicrotic_notch,78.76
1828,14.624000,diastolic_trough,69.64
1843,14.744000,systolic_peak,145.08
1871,14.968000,dicrotic_notch,77.51
1898,15.184000,diastolic_trough,68.81
1914,15.312000,systolic_peak,143.83
1941,15.528000,dicrotic_notch,77.10
1969,15.752000,diastolic_trough,68.39
1984,15.872000,systolic_peak,144.25
2013,16.104000,dicrotic_notch,77.51
2039,16.312000,diastolic_trough,68.81
2055,16.440000,systolic_peak,145.91
2083,16.664000,dicrotic_notch,78.34
2109,16.872000,diastolic_trough,70.88
2125,17.000000,systolic_peak,148.39
2153,17.224000,dicrotic_notch,79.59
2179,17.432000,diastolic_trough,69.64
2194,17.552000,systolic_peak,145.91
2222,17.776000,dicrotic_notch,77.10
2249,17.992000,diastolic_trough,68.81
2265,18.120000,systolic_peak,143.42
2291,18.328000,dicrotic_notch,76.68
2319,18.552000,diastolic_trough,68.81
2335,18.680000,systolic_peak,144.66
2362,18.896000,dicrotic_notch,76.68
2389,19.112000,diastolic_trough,69.22
2405,19.240000,systolic_peak,145.91
2433,19.464000,dicrotic_notch,77.51
2459,19.672000,diastolic_trough,70.47
2475,19.800000,systolic_peak,147.15
2503,20.024000,dicrotic_notch,79.59
2529,20.232000,diastolic_trough,71.30
2544,20.352000,systolic_peak,147.15
2573,20.584000,dicrotic_notch,77.93
2599,20.792000,diastolic_trough,68.39
2614,20.912000,systolic_peak,143.42
2641,21.128000,dicrotic_notch,76.27
2669,21.352000,diastolic_trough,67.98
2685,21.480000,systolic_peak,143.42
2713,21.704000,dicrotic_notch,76.27
2739,21.912000,diastolic_trough,68.39
2755,22.040000,systolic_peak,144.25
2782,22.256000,dicrotic_notch,76.27
2809,22.472000,diastolic_trough,68.81
2825,22.600000,systolic_peak,145.49
2853,22.824000,dicrotic_notch,78.76
2879,23.032000,diastolic_trough,70.47
2894,23.152000,systolic_peak,147.15
2922,23.376000,dicrotic_notch,77.51
2949,23.592000,diastolic_trough,68.81
2964,23.712000,systolic_peak,143.83
2991,23.928000,dicrotic_notch,76.27
3019,24.152000,diastolic_trough,67.56
3035,24.280000,systolic_peak,141.76
3061,24.488000,dicrotic_notch,75.44
3089,24.712000,diastolic_trough,67.15
3105,24.840000,systolic_peak,142.18
3132,25.056000,dicrotic_notch,75.44
3160,25.280000,diastolic_trough,67.15
3175,25.400000,systolic_peak,143.01
3203,25.624000,dicrotic_notch,76.27
3230,25.840000,diastolic_trough,69.22
3245,25.960000,systolic_peak,145.08
3273,26.184000,dicrotic_notch,77.93
3299,26.392000,diastolic_trough,68.39
3315,26.520000,systolic_peak,143.01
3342,26.736000,dicrotic_notch,75.44
3369,26.952000,diastolic_trough,67.15
3385,27.080000,systolic_peak,140.10
3412,27.296000,dicrotic_notch,74.20
3440,27.520000,diastolic_trough,66.32
3455,27.640000,systolic_peak,139.69
3483,27.864000,dicrotic_notch,74.61
3510,28.080000,diastolic_trough,66.32
3525,28.200000,systolic_peak,140.93
3553,28.424000,dicrotic_notch,74.20
3579,28.632000,diastolic_trough,68.81
3595,28.760000,systolic_peak,141.76
3622,28.976000,dicrotic_notch,74.20
3649,29.192000,diastolic_trough,67.98
3664,29.312000,systolic_peak,140.93
3691,29.528000,dicrotic_notch,76.27
3719,29.752000,diastolic_trough,67.15
3734,29.872000,systolic_peak,138.86
3761,30.088000,dicrotic_notch,73.78
3789,30.312000,diastolic_trough,66.32
3804,30.432000,systolic_peak,137.62
3831,30.648000,dicrotic_notch,74.20
3859,30.872000,diastolic_trough,66.32
3874,30.992000,systolic_peak,138.86
3902,31.216000,dicrotic_notch,78.76
3915,31.320000,diastolic_trough,64.66
3943,31.544000,systolic_peak,138.03
3969,31.752000,dicrotic_notch,72.12
3997,31.976000,diastolic_trough,67.56
4013,32.104000,systolic_peak,141.35
4043,32.344000,dicrotic_notch,75.03
4067,32.536000,diastolic_trough,67.56
4082,32.656000,systolic_peak,138.86
4108,32.864000,dicrotic_notch,74.20
4136,33.088000,diastolic_trough,64.25
4152,33.216000,systolic_peak,136.79
4177,33.416000,dicrotic_notch,71.30
4206,33.648000,diastolic_trough,64.66
4222,33.776000,systolic_peak,138.45
4250,34.000000,dicrotic_notch,73.37
4275,34.200000,diastolic_trough,65.91
4291,34.328000,systolic_peak,138.86
4318,34.544000,dicrotic_notch,74.61
4345,34.760000,diastolic_trough,68.39
4360,34.880000,systolic_peak,141.35
4387,35.096000,dicrotic_notch,75.44
4413,35.304000,diastolic_trough,68.39
4429,35.432000,systolic_peak,140.93
4456,35.648000,dicrotic_notch,74.61
4483,35.864000,diastolic_trough,67.56
4499,35.992000,systolic_peak,139.27
4526,36.208000,dicrotic_notch,74.20
4552,36.416000,diastolic_trough,67.56
4568,36.544000,systolic_peak,138.45
4595,36.760000,dicrotic_notch,74.20
4622,36.976000,diastolic_trough,67.98
4637,37.096000,systolic_peak,140.52
4665,37.320000,dicrotic_notch,75.44
4691,37.528000,diastolic_trough,69.22
4706,37.648000,systolic_peak,142.18
4733,37.864000,dicrotic_notch,77.51
4759,38.072000,diastolic_trough,70.47
4775,38.200000,systolic_peak,144.25
4803,38.424000,dicrotic_notch,77.51
4829,38.632000,diastolic_trough,69.22
4844,38.752000,systolic_peak,140.93
4871,38.968000,dicrotic_notch,75.03
4898,39.184000,diastolic_trough,68.39
4913,39.304000,systolic_peak,140.52
4940,39.520000,dicrotic_notch,75.44
4968,39.744000,diastolic_trough,67.56
4983,39.864000,systolic_peak,140.93
5010,40.080000,dicrotic_notch,76.27
5037,40.296000,diastolic_trough,68.81
5053,40.424000,systolic_peak,142.59
5080,40.640000,dicrotic_notch,77.10
5106,40.848000,diastolic_trough,70.88
5121,40.968000,systolic_peak,145.91
5148,41.184000,dicrotic_notch,78.34
5175,41.400000,diastolic_trough,70.05
5190,41.520000,systolic_peak,143.83
