Index,Timestamp_s,Label,Value_mmHg
83,420.664,diastolic_trough,56.0
100,420.8,systolic_peak,87.2
138,421.104,dicrotic_notch,70.4
203,421.624,diastolic_trough,51.2
228,421.824,systolic_peak,83.2
251,422.008,dicrotic_notch,71.2
321,422.568,diastolic_trough,53.6
337,422.696,systolic_peak,84.8
371,422.968,dicrotic_notch,68.8
439,423.512,diastolic_trough,51.2
464,423.712,systolic_peak,84.8
493,423.944,dicrotic_notch,69.6
558,424.464,diastolic_trough,53.6
574,424.592,systolic_peak,83.2
607,424.856,dicrotic_notch,68.0
674,425.392,diastolic_trough,53.6
691,425.528,systolic_peak,86.4
724,425.792,dicrotic_notch,72.0
794,426.352,diastolic_trough,51.2
818,426.544,systolic_peak,83.2
845,426.76,dicrotic_notch,67.2
911,427.288,diastolic_trough,56.0
928,427.424,systolic_peak,86.4
963,427.704,dicrotic_notch,71.2
1029,428.232,diastolic_trough,52.0
1054,428.432,systolic_peak,84.0
1080,428.64,dicrotic_notch,72.0
1147,429.176,diastolic_trough,56.0
1163,429.304,systolic_peak,86.4
1195,429.56,dicrotic_notch,70.4
1264,430.112,diastolic_trough,55.2
1281,430.248,systolic_peak,88.0
1312,430.496,dicrotic_notch,74.4
1383,431.064,diastolic_trough,54.4
1406,431.248,systolic_peak,84.8
1430,431.44,dicrotic_notch,70.4
1500,432.0,diastolic_trough,56.8
1516,432.128,systolic_peak,88.0
1547,432.376,dicrotic_notch,75.2
1618,432.944,diastolic_trough,52.0
1642,433.136,systolic_peak,84.0
1664,433.312,dicrotic_notch,71.2
1735,433.88,diastolic_trough,55.2
1751,434.008,systolic_peak,87.2
1783,434.264,dicrotic_notch,73.6
1854,434.832,diastolic_trough,52.8
1879,435.032,systolic_peak,84.0
1901,435.208,dicrotic_notch,70.4
1971,435.768,diastolic_trough,55.2
1986,435.888,systolic_peak,87.2
2019,436.152,dicrotic_notch,72.8
2090,436.72,diastolic_trough,51.2
2115,436.92,systolic_peak,82.4
2140,437.12,dicrotic_notch,67.2
2208,437.664,diastolic_trough,53.6
2224,437.792,systolic_peak,86.4
2258,438.064,dicrotic_notch,70.4
2327,438.616,diastolic_trough,48.8
2344,438.752,systolic_peak,81.6
2378,439.024,dicrotic_notch,67.2
2446,439.568,diastolic_trough,48.8
2462,439.696,systolic_peak,81.6
